"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP1";"Pin_Header_Straight_1x02";1;"SELF_PROG";;;
2;"JP2";"Pin_Header_Straight_1x02";1;"SLOW_SCK";;;
3;"CON1";"USB_Micro-B_SMD";1;"USB-MICRO-B";;;
4;"P5,P4,P3,P2";"1pin";4;"CONN_01X01";;;
5;"C1,C2";"C_0603_HandSoldering";2;"22pF";;;
6;"C3";"C_0603_HandSoldering";1;"0.1uF";;;
7;"C4";"c_elec_4x5.8";1;"4.7uF";;;
8;"D1";"LED-0603_NEW";1;"RED";;;
9;"D2";"LED-0603_NEW";1;"GREEN";;;
10;"P1";"5X2_FRC_2SIDE_EE";1;"CONN_02X05";;;
11;"R1";"R_0603_HandSoldering";1;"10K";;;
12;"R2";"R_0603_HandSoldering";1;"2.2K";;;
13;"R3,R4";"R_0603_HandSoldering";2;"68E";;;
14;"R5,R6,R7";"R_0603_HandSoldering";3;"1k";;;
15;"X1";"HC-49V";1;"12MHz";;;
16;"IC1";"LQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA8-AI";;;
17;"D3,D4";"ZenerDiode_SMD_new";2;"3.6V";;;
18;"LOGO";"LOGO (2)";1;"";;;
